cve_ent,cve_ent,cve_ent
2447,2447,5
2448,2448,2
2449,2449,25
245,245,19
2450,2450,60
2451,2451,17
2452,2452,4
2453,2453,18
2454,2454,21
2455,2455,26
2456,2456,13
2457,2457,19
2458,2458,24
246,246,9
247,247,12
248,248,19
249,249,6
25,25,71
251,251,920
2510,2510,138
2511,2511,652
2512,2512,862
2513,2513,62
2514,2514,47
2515,2515,197
2516,2516,16
2517,2517,77
2518,2518,183
252,252,129
253,253,27
254,254,27
255,255,11
256,256,1954
257,257,19
258,258,34
259,259,79
25999,25999,1
261,261,3
2610,2610,3
2611,2611,5
2612,2612,40
2613,2613,2
2614,2614,7
2615,2615,3
2616,2616,5
2617,2617,160
2618,2618,935
2619,2619,88
262,262,168
2620,2620,2
2621,2621,2
2622,2622,2
2623,2623,14
2625,2625,108
2626,2626,80
2627,2627,11
2629,2629,314
263,263,17
2630,2630,1689
2633,2633,127
2635,2635,19
2636,2636,46
2637,2637,1
2638,2638,6
2639,2639,12
264,264,6
2641,2641,39
2642,2642,224
2643,2643,379
2645,2645,2
2646,2646,1
2647,2647,11
2648,2648,63
2649,2649,3
265,265,2
2650,2650,3
2651,2651,7
2652,2652,6
2655,2655,407
2656,2656,3
2657,2657,2
2658,2658,35
266,266,2
2660,2660,4
2662,2662,1
2663,2663,1
2666,2666,11
2667,2667,3
2668,2668,2
2670,2670,14
2671,2671,37
2672,2672,25
271,271,40
2710,2710,90
2711,2711,13
2712,2712,141
2713,2713,152
2714,2714,105
2715,2715,33
2716,2716,87
2717,2717,54
272,272,230
273,273,62
274,274,1233
275,275,193
276,276,72
277,277,38
278,278,108
279,279,48
281,281,7
2810,2810,1
2811,2811,11
2812,2812,22
2813,2813,9
2814,2814,1
2815,2815,3
2816,2816,10
2817,2817,1
2818,2818,2
2819,2819,10
282,282,13
2820,2820,3
2821,2821,209
2822,2822,466
2824,2824,6
2825,2825,32
2827,2827,513
2828,2828,4
2829,2829,13
283,283,237
2830,2830,8
2831,2831,2
2832,2832,725
2833,2833,98
2834,2834,3
2835,2835,29
2837,2837,12
2838,2838,695
2839,2839,16
284,284,14
2840,2840,26
2841,2841,369
2842,2842,1
2843,2843,40
286,286,1
287,287,6
288,288,2
289,289,352
291,291,10
2910,2910,152
2911,2911,5
2912,2912,3
2913,2913,51
2914,2914,13
2915,2915,59
2916,2916,7
2917,2917,5
2918,2918,50
2919,2919,15
292,292,21
2920,2920,8
2921,2921,7
2922,2922,4
2923,2923,38
2924,2924,44
2925,2925,55
2926,2926,19
2927,2927,25
2928,2928,18
2929,2929,19
293,293,4
2930,2930,6
2931,2931,26
2932,2932,10
2933,2933,263
2934,2934,21
2935,2935,6
2936,2936,33
2937,2937,2
2938,2938,12
2939,2939,25
294,294,6
2940,2940,13
2941,2941,45
2942,2942,7
2943,2943,30
2944,2944,75
2945,2945,2
2946,2946,2
2947,2947,2
2948,2948,18
2949,2949,5
295,295,163
2950,2950,8
2951,2951,9
2952,2952,10
2953,2953,7
2954,2954,8
2955,2955,3
2956,2956,9
2957,2957,3
2958,2958,8
2959,2959,2
296,296,52
2960,2960,12
297,297,8
298,298,6
299,299,4
301,301,2
3010,3010,17
30100,30100,14
30101,30101,26
30102,30102,78
30103,30103,1
30104,30104,4
30105,30105,50
30107,30107,1
30108,30108,224
30109,30109,14
3011,3011,39
30111,30111,14
30112,30112,16
30113,30113,1
30114,30114,5
30115,30115,46
30116,30116,3
30117,30117,6
30118,30118,208
3012,3012,12
30120,30120,3
30121,30121,10
30122,30122,2
30123,30123,72
30124,30124,125
30125,30125,12
30126,30126,22
30127,30127,1
30128,30128,52
30129,30129,8
3013,3013,20
30130,30130,23
30131,30131,542
30132,30132,1
30133,30133,33
30134,30134,24
30135,30135,11
30136,30136,5
30138,30138,50
30139,30139,3
3014,3014,22
30141,30141,123
30142,30142,3
30143,30143,29
30144,30144,2
30146,30146,1
30147,30147,2
30148,30148,9
30149,30149,3
3015,3015,39
30150,30150,2
30151,30151,5
30152,30152,11
30153,30153,1
30154,30154,4
30155,30155,24
30157,30157,13
30158,30158,11
30159,30159,1
3016,3016,41
30160,30160,43
30161,30161,7
30162,30162,3
30164,30164,11
30165,30165,1
30166,30166,1
30167,30167,3
30169,30169,9
3017,3017,1
30170,30170,1
30172,30172,3
30173,30173,12
30174,30174,61
30175,30175,70
30176,30176,4
30177,30177,4
30178,30178,15
30181,30181,12
30182,30182,12
30183,30183,36
30184,30184,2
30185,30185,2
30186,30186,1
30188,30188,1
30189,30189,176
30190,30190,1
30191,30191,33
30192,30192,4
30193,30193,1186
30194,30194,4
30196,30196,10
30197,30197,2
302,302,5
3020,3020,1
30200,30200,1
30201,30201,14
30202,30202,1
30203,30203,3
30204,30204,73
30205,30205,11
30206,30206,76
30207,30207,29
30208,30208,32
30209,30209,1
3021,3021,22
30210,30210,14
30211,30211,11
30212,30212,2
3022,3022,6
3023,3023,5
3024,3024,2
3025,3025,4
3026,3026,22
3027,3027,3
3028,3028,161
303,303,35
3030,3030,41
3031,3031,4
3032,3032,24
3033,3033,16
3034,3034,17
3035,3035,3
3036,3036,2
3038,3038,75
3039,3039,546
304,304,25
3040,3040,72
3041,3041,1
3042,3042,3
3044,3044,234
3045,3045,60
3046,3046,8
3047,3047,5
3048,3048,94
3049,3049,10
305,305,2
3050,3050,1
3051,3051,4
3052,3052,12
3053,3053,11
3054,3054,11
3055,3055,4
3056,3056,3
3057,3057,5
3058,3058,21
3059,3059,5
306,306,9
3060,3060,3
3061,3061,42
3062,3062,7
3063,3063,2
3065,3065,44
3066,3066,8
3067,3067,1
3068,3068,46
3069,3069,24
307,307,1
3070,3070,6
3071,3071,13
3072,3072,3
3073,3073,10
3074,3074,8
3075,3075,8
3076,3076,1
3077,3077,19
3078,3078,8
3079,3079,2
308,308,1
3080,3080,4
3081,3081,16
3082,3082,19
3083,3083,11
3084,3084,1
3085,3085,33
3086,3086,10
3087,3087,627
3088,3088,1
3089,3089,34
309,309,11
3090,3090,6
3091,3091,4
3092,3092,12
3093,3093,9
3094,3094,11
3095,3095,2
3097,3097,36
3099,3099,6
31,31,137
311,311,12
31100,31100,3
31101,31101,96
31102,31102,89
31103,31103,4
31104,31104,7
31105,31105,6
31106,31106,1
3111,3111,4
3112,3112,1
3113,3113,19
3114,3114,1
3115,3115,8
3117,3117,2
3118,3118,4
3119,3119,12
312,312,44
3120,3120,7
3121,3121,4
3122,3122,4
3123,3123,4
3124,3124,3
3125,3125,3
3126,3126,6
3127,3127,11
3128,3128,1
3129,3129,2
313,313,6
3130,3130,4
3131,3131,4
3132,3132,9
3133,3133,24
3134,3134,12
3135,3135,14
3136,3136,10
3137,3137,8
3138,3138,42
3139,3139,5
314,314,15
3140,3140,53
3141,3141,70
3142,3142,3
3143,3143,4
3144,3144,11
3145,3145,4
3148,3148,28
3149,3149,1
315,315,3
3150,3150,1650
3151,3151,4
3152,3152,72
3153,3153,21
3154,3154,4
3155,3155,4
3156,3156,14
3157,3157,9
3158,3158,3
3159,3159,61
316,316,3
3160,3160,1
3161,3161,5
3162,3162,3
3163,3163,9
3164,3164,6
3165,3165,4
3166,3166,2
3167,3167,13
3168,3168,2
3169,3169,3
317,317,11
3170,3170,3
3171,3171,4
3172,3172,8
3174,3174,10
3175,3175,3
3176,3176,25
3177,3177,2
3178,3178,5
3179,3179,17
318,318,3
3180,3180,5
3181,3181,5
3182,3182,6
3183,3183,1
3184,3184,8
3185,3185,10
3186,3186,2
3187,3187,5
3189,3189,55
319,319,12
3190,3190,8
3191,3191,14
3192,3192,5
3193,3193,29
3194,3194,1
3195,3195,5
3196,3196,56
3197,3197,5
3198,3198,2
3199,3199,3
32,32,94
321,321,3
3210,3210,341
3212,3212,4
3213,3213,10
3214,3214,24
3215,3215,2
3216,3216,23
3217,3217,267
3218,3218,5
3219,3219,11
322,322,2
3220,3220,115
3221,3221,1
3222,3222,23
3223,3223,9
3224,3224,49
3225,3225,11
3226,3226,13
3227,3227,1
3228,3228,2
3229,3229,18
323,323,6
3230,3230,1
3231,3231,7
3232,3232,25
3233,3233,4
3234,3234,17
3235,3235,11
3236,3236,51
3237,3237,22
3238,3238,63
3239,3239,88
324,324,2
3240,3240,22
3241,3241,2
3242,3242,60
3243,3243,2
3244,3244,7
3245,3245,7
3246,3246,13
3247,3247,2
3248,3248,37
3249,3249,35
325,325,46
3250,3250,15
3251,3251,35
3252,3252,14
3253,3253,10
3254,3254,17
3255,3255,35
3256,3256,406
3257,3257,27
3258,3258,3
326,326,15
327,327,22
328,328,14
329,329,11
33,33,492
38,38,258
39,39,22
41,41,39
410,410,5
411,411,22
42,42,382
43,43,281
